question,answer,source,q_char_len,a_char_len,q_word_len,a_word_len,question_norm,category
What should you do if a person stung by a blue bottle loses consciousness?,"If a person stung by a blue bottle loses consciousness, you should call for emergency medical help immediately. While waiting for assistance, check their airway, breathing, and circulation, and perform CPR if necessary.",FirstAidQA,74,219,14,33,what should you do if a person stung by a blue bottle loses consciousness?,cpr
What precautions should be taken when bandaging a fractured rib?,"When bandaging a fractured rib, avoid wrapping the bandage too tightly, as this can restrict breathing. The bandage should be applied securely around the chest to help stabilize the ribcage and minimize movement, but it should allow the casualty to take shallow breaths. Use padding to cushion the injured area, reducing pain and further injury.",FirstAidQA,64,345,10,55,what precautions should be taken when bandaging a fractured rib?,fracture
How can I support a burnt limb after treating it?,"Once the burn is cooled and properly dressed, support the affected limb using a pillow or rolled towel to keep it elevated. This reduces swelling and improves comfort. Make sure the dressing is not too tight and circulation is maintained.",FirstAidQA,49,238,10,40,how can i support a burnt limb after treating it?,burns
What should be done if a casualty with a chest injury starts to lose consciousness?,"If the casualty with a chest injury starts to lose consciousness, check their airway, breathing, and pulse. If necessary, begin CPR. Place the casualty in the lateral position on the injured side to ease breathing and reduce further lung damage. Seek immediate medical help, as loss of consciousness may indicate severe injury.",FirstAidQA,83,327,15,52,what should be done if a casualty with a chest injury starts to lose consciousness?,cpr
How can I treat a black eye caused by a blow to the face?,"To treat a black eye, first check that the eye itself is not injured. Then, apply an ice pack to the affected area, but avoid direct contact with the eye to prevent frostbite. If the eye swells and closes, seek medical advice immediately.",FirstAidQA,57,238,14,43,how can i treat a black eye caused by a blow to the face?,other
How do you manage external bleeding from the head if you suspect a skull fracture?,"If a skull fracture is suspected, do not apply direct pressure on the wound. Lightly cover it with a sterile dressing. Avoid pressing on the scalp to prevent pushing fragments inward or worsening internal bleeding.",FirstAidQA,82,214,15,35,how do you manage external bleeding from the head if you suspect a skull fracture?,severe_bleeding
Can ear injuries from water exposure cause infection?,"Yes, ear injuries from water exposure, especially if there is a rupture in the eardrum or a cut in the ear canal, can introduce bacteria and lead to infection. Keeping the ear dry and seeking medical care is essential to prevent infections.",FirstAidQA,53,240,8,42,can ear injuries from water exposure cause infection?,other
How can a first aider differentiate between a sprain and a fracture during the initial assessment?,"A sprain typically involves ligament damage and may present with swelling, tenderness, and limited movement. A fracture, however, involves bone breakage and may be accompanied by deformity, sharp pain, and an inability to move the limb. The first aider should immobilize the injured area and avoid moving it further to prevent worsening the injury.",FirstAidQA,98,348,16,54,how can a first aider differentiate between a sprain and a fracture during the initial assessment?,fracture
What should I do if the overdose victim has a history of drug abuse?,"If the overdose victim has a history of drug abuse, they may be at higher risk for complications. Still, the immediate action is the same: assess their airway, breathing, and pulse, place them in the lateral position, and seek emergency medical help. Provide any relevant information about their drug use if available.",FirstAidQA,68,318,14,52,what should i do if the overdose victim has a history of drug abuse?,other
Why is it important to know the medical history of someone with a suspected heart attack?,"Knowing the medical history is essential as it helps emergency responders provide appropriate treatment. For instance, if the person has a history of allergies to medications like aspirin or any cardiovascular conditions, this information can guide medical decisions to avoid complications during treatment.",FirstAidQA,89,307,16,43,why is it important to know the medical history of someone with a suspected heart attack?,heart_attack
Why is frequent monitoring important during the rehydration phase of a sick child?,"Children’s condition can change rapidly. Monitoring helps ensure they’re retaining fluids, not showing signs of worsening dehydration, and progressing toward recovery. Catching early warning signs like decreased urination or fatigue helps prevent emergencies.",FirstAidQA,82,259,13,33,why is frequent monitoring important during the rehydration phase of a sick child?,other
How does improper food storage contribute to food poisoning?,"Improper storage allows bacteria to grow on food, particularly perishable items like meat and dairy. When these foods are not kept at the correct temperature, harmful bacteria multiply rapidly, increasing the risk of foodborne illnesses.",FirstAidQA,60,237,9,35,how does improper food storage contribute to food poisoning?,other
Can a person recover fully from frostbite if treated properly?,"Yes, a person can recover from frostbite if treated promptly and properly, especially in the early stages. Slow rewarming using body heat and avoiding direct heat or rubbing the affected area can help prevent permanent damage. However, if frostbite is severe, there may be permanent damage, including the loss of tissue or limb.",FirstAidQA,62,328,10,53,can a person recover fully from frostbite if treated properly?,other
How do you recognize signs of poisoning from inhaled fumes from a fire?,"Signs of poisoning from inhaled fumes from a fire include coughing, shortness of breath, dizziness, confusion, rapid or shallow breathing, and chest pain. In severe cases, loss of consciousness may occur. Seek medical help immediately and remove the person from the toxic environment.",FirstAidQA,71,284,13,43,how do you recognize signs of poisoning from inhaled fumes from a fire?,heart_attack
How does humidity affect the body's ability to regulate temperature?,"High humidity reduces the body’s ability to cool itself through sweating because the air is already saturated with moisture, preventing sweat from evaporating efficiently. This can lead to overheating and increase the risk of heat-related illnesses such as heat exhaustion and heat stroke.",FirstAidQA,68,289,10,43,how does humidity affect the body's ability to regulate temperature?,stroke
How can abnormal responses to commands indicate a head injury?,"Confusion or abnormal responses to commands and touch suggest that brain function may be impaired, possibly due to swelling or internal bleeding. These signs indicate a serious head injury and need urgent evaluation.",FirstAidQA,62,216,10,33,how can abnormal responses to commands indicate a head injury?,severe_bleeding
What is the risk of moving a casualty with potential spinal injuries?,"Moving them could result in permanent paralysis or further internal injury. Unless there is an immediate threat to life, such as fire, do not move the casualty. Instead, stabilize their head and neck to prevent any movement until professionals arrive.",FirstAidQA,69,251,12,40,what is the risk of moving a casualty with potential spinal injuries?,spinal_injury
"Can a choking adult save themselves, and if so, how?","Yes, a choking adult can save themselves if they are able to cough. They should try to forcefully cough to expel the object. If they cannot clear the obstruction and are unable to breathe, they should attempt to perform the Heimlich maneuver on themselves by using their hands to apply pressure to their abdomen against a firm surface.",FirstAidQA,52,335,10,58,"can a choking adult save themselves, and if so, how?",choking
Can I use an over-the-counter pain reliever for eye injuries?,"Over-the-counter pain relievers like ibuprofen or acetaminophen may help reduce general discomfort, but they should never be used as a substitute for proper medical evaluation and treatment. Seek medical attention to ensure no serious injuries are present.",FirstAidQA,61,256,10,37,can i use an over-the-counter pain reliever for eye injuries?,other
How can I care for sunburn during camping without medical supplies?,"Seek shade immediately and cool the skin with water from a stream, damp cloth, or wet clothing. Avoid tight clothing or further sun exposure. Keep the person hydrated and rest until they can access proper care. Do not apply unknown plants or substances to the skin.",FirstAidQA,67,265,11,46,how can i care for sunburn during camping without medical supplies?,burns
What should you do if the casualty has burning clothing from an electric shock?,"If the casualty's clothing is on fire, immediately smother the flames using a fire blanket, water, or other available methods. Ensure the fire is completely extinguished.",FirstAidQA,79,170,14,26,what should you do if the casualty has burning clothing from an electric shock?,burns
What should I do if a person stops breathing during a seizure?,"If a person stops breathing during a seizure, immediately call for emergency medical help. After the seizure ends, place the person in the recovery position to maintain an open airway. If they do not start breathing on their own or if their breathing remains irregular, begin CPR and continue until help arrives.",FirstAidQA,62,312,12,52,what should i do if a person stops breathing during a seizure?,cpr
Can a person with a concussion safely drive a car?,"No, a person with a concussion should avoid driving until they are fully symptom-free and have been cleared by a healthcare professional. Symptoms such as dizziness, blurred vision, or difficulty concentrating can impair driving ability and increase the risk of accidents.",FirstAidQA,50,272,10,41,can a person with a concussion safely drive a car?,other
What should you do if you are unsure whether a person is in cardiac arrest or just unconscious?,"If you are unsure whether the person is in cardiac arrest or just unconscious, check for signs of life such as normal breathing or a pulse. If there are no signs of breathing or a pulse, begin CPR immediately and continue until the person shows signs of life or help arrives.",FirstAidQA,95,275,18,51,what should you do if you are unsure whether a person is in cardiac arrest or just unconscious?,cpr
What is a triangular bandage and what are its uses?,"A triangular bandage is a versatile piece of calico or cotton cloth with two sides about 90–100 cm long. It can be used to cover large dressings, create slings, make pads, secure splints, or protect body parts such as the scalp, chest, hand, or foot. It can be folded to form wide or narrow bandages depending on the need.",FirstAidQA,51,322,10,59,what is a triangular bandage and what are its uses?,fracture
Can a tick bite cause paralysis even if the victim is an adult?,"Yes, a tick bite can cause paralysis in adults, although children are more vulnerable. Symptoms typically start with weakness in the face and eyelids, which may then spread to the arms and affect breathing. Prompt removal of the tick and medical attention are essential to prevent further complications.",FirstAidQA,63,303,13,48,can a tick bite cause paralysis even if the victim is an adult?,other
How can alcohol consumption affect body temperature?,"Alcohol consumption can affect body temperature by causing blood vessels to dilate, leading to a sensation of warmth, but it also impairs the body's ability to regulate temperature, especially in cold environments. This increases the risk of hypothermia in cold conditions.",FirstAidQA,52,273,7,41,how can alcohol consumption affect body temperature?,other
How can physical exertion in hot weather affect body temperature?,"Physical exertion in hot weather increases the body's production of heat. This can lead to dehydration, excessive sweating, and a rise in body temperature. It's important to take regular breaks, hydrate, and monitor temperature to prevent heat-related illnesses.",FirstAidQA,65,262,10,38,how can physical exertion in hot weather affect body temperature?,other
How should I assess someone who has fainted?,"After someone faints, the first step is to check their breathing and pulse. Lay them down, raise their feet, and ensure they have fresh air. Loosen any tight clothing and check for injuries. If they don’t regain consciousness quickly, seek emergency medical help.",FirstAidQA,44,263,8,43,how should i assess someone who has fainted?,other
What’s the risk of removing a dressing once applied over a bleeding wound?,"Removing the dressing can dislodge any formed clot, restarting the bleeding and increasing the risk of infection. Instead, reinforce the existing dressing with more pads and secure it with a new bandage.",FirstAidQA,74,203,13,32,what’s the risk of removing a dressing once applied over a bleeding wound?,severe_bleeding
How can you prevent cross-infection when treating an open wound?,"Use gloves if available, encourage the casualty to apply pressure themselves, and use clean or sterile materials. Avoid touching the wound directly and ensure all dressings are handled with clean hands or tools to minimize bacterial contamination.",FirstAidQA,64,247,10,37,how can you prevent cross-infection when treating an open wound?,severe_bleeding
What are the signs that a nosebleed is an emergency?,"Signs of an emergency include persistent bleeding longer than 20 minutes, very heavy bleeding, difficulty breathing, signs of shock (like pale skin or rapid pulse), or if it follows a head injury. Presence of clear fluid mixed with blood may indicate a skull fracture and requires immediate medical intervention.",FirstAidQA,52,312,10,49,what are the signs that a nosebleed is an emergency?,severe_bleeding
Can a fracture be present even if the person can move the limb slightly?,"Yes, even partial movement does not rule out a fracture. Greenstick fractures or certain types of closed fractures may allow limited motion. Pain, swelling, or deformity should still be treated seriously, and medical help should be sought.",FirstAidQA,72,239,14,37,can a fracture be present even if the person can move the limb slightly?,fracture
Can electric shock victims develop long-term neurological issues?,"Yes, electric shock can cause long-term neurological issues, such as nerve damage, muscle weakness, and memory problems, particularly in cases of high-voltage exposure. It's important for victims to undergo thorough medical assessments to monitor for long-term effects.",FirstAidQA,65,269,8,37,can electric shock victims develop long-term neurological issues?,other
What should I do if I cannot apply enough pressure to the bite site?,"If you are unable to apply enough pressure to the bite site, use any available materials, such as cloth or bandages, to increase the pressure and immobilize the limb. If needed, secure the material with improvised items, such as a belt or rope, to maintain pressure until medical help arrives.",FirstAidQA,68,293,14,50,what should i do if i cannot apply enough pressure to the bite site?,other
Can swallowing a small object like a button lead to severe complications?,"Swallowing a small object like a button can lead to complications such as choking, gastrointestinal blockage, or, in some cases, internal injury. Although small buttons are less likely to cause major damage, prompt medical evaluation is still recommended to avoid any risks, especially if the child shows signs of distress.",FirstAidQA,73,323,12,50,can swallowing a small object like a button lead to severe complications?,choking
What should I do if the person experiencing a heart attack starts sweating profusely?,"Profuse sweating is a common symptom of a heart attack. Keep the person calm, have them sit down in a comfortable position, and loosen any tight clothing. Make sure to monitor their symptoms, and call for an ambulance immediately for further medical intervention.",FirstAidQA,85,263,14,43,what should i do if the person experiencing a heart attack starts sweating profusely?,heart_attack
What should you do if you cannot immediately access ice for a muscle strain?,"If ice is not immediately available for a muscle strain, you can use a cold compress or a cold water bottle to cool the area. In the absence of any cooling methods, you should still rest the injured area, elevate it, and avoid movement to prevent worsening the injury until you can access proper treatment.",FirstAidQA,76,306,14,55,what should you do if you cannot immediately access ice for a muscle strain?,transportation
What are the early warning signs of a worsening asthma condition before a full-blown attack occurs?,"Early warning signs may include increased use of reliever medication, coughing at night, mild breathlessness, and reduced tolerance for exercise. Recognizing and acting on these signs early can prevent a full-blown asthma attack.",FirstAidQA,99,229,16,33,what are the early warning signs of a worsening asthma condition before a full-blown attack occurs?,other
What should you do if someone is unconscious after swallowing a toxic substance?,"If someone is unconscious after swallowing a toxic substance, place them in the lateral position to ensure their airway remains open. Check their breathing, pulse, and airway, and start CPR if necessary. Do not induce vomiting. Seek urgent medical help to ensure proper treatment.",FirstAidQA,80,280,13,44,what should you do if someone is unconscious after swallowing a toxic substance?,cpr
How can I mentally prepare myself to assist someone with a fish hook injury if I’m squeamish?,"Focus on the person in need, not the injury. Take deep breaths and speak out your steps aloud to stay grounded. Use gloves if available to reduce direct contact. If you're too distressed, delegate to someone else or assist verbally while they perform first aid.",FirstAidQA,93,261,17,45,how can i mentally prepare myself to assist someone with a fish hook injury if i’m squeamish?,other
Can you massage an injured muscle with a strain?,"No, you should not massage the injured muscle if there is a strain. Massaging the affected area may cause further damage to the muscle or tendon. Instead, the area should be rested, supported, and iced. Gentle exercise may be beneficial once the pain subsides, but only under guidance.",FirstAidQA,48,285,9,48,can you massage an injured muscle with a strain?,other
How do I treat a flash burn caused by an arc welder?,"For a flash burn from an arc welder, do not flush the eye with water. Instead, apply a clean, sterile dressing or eye pad to the affected eye. It's important to seek medical aid as soon as possible since flash burns can be serious.",FirstAidQA,52,231,12,44,how do i treat a flash burn caused by an arc welder?,burns
What are the dangers of sudden rewarming in hypothermic individuals?,"Sudden rewarming can cause the body to go into shock because rapid heating of cold tissue can lead to a sudden change in blood circulation. This may result in a rapid drop in blood pressure and cardiac issues. It is crucial to warm the hypothermic person gradually, using methods like dry, warm clothing or blankets, and body heat from another person, to avoid triggering shock.",FirstAidQA,68,378,10,65,what are the dangers of sudden rewarming in hypothermic individuals?,heart_attack
Should I take any specific precautions if the casualty has multiple teeth knocked out?,"If multiple teeth are knocked out, each tooth should be treated individually by keeping them moist in milk or saliva. Additionally, stabilize any loose teeth with gauze or a splint. It is important to seek emergency dental care immediately.",FirstAidQA,86,240,14,39,should i take any specific precautions if the casualty has multiple teeth knocked out?,fracture
Can a person with a spinal injury regain movement if treated immediately?,"While immediate treatment is critical to preventing further damage, the ability for a person to regain movement depends on the severity and location of the injury. In some cases, prompt medical intervention may help prevent permanent paralysis, but in others, the damage could be irreversible.",FirstAidQA,73,293,12,45,can a person with a spinal injury regain movement if treated immediately?,spinal_injury
"If someone falls and you hear a snapping sound followed by extreme pain, what should you assume?","A snapping or cracking sound is a common indicator of a fracture. If followed by intense pain, swelling, or inability to move the limb naturally, assume a fracture and begin immobilization immediately while calling for medical help.",FirstAidQA,96,232,17,37,"if someone falls and you hear a snapping sound followed by extreme pain, what should you assume?",fracture
How does smoking impact heart failure?,"Smoking exacerbates heart failure by narrowing the blood vessels, increasing blood pressure, and reducing oxygen supply to the heart. It also accelerates the development of atherosclerosis, which can further damage the heart muscle and make heart failure symptoms worse.",FirstAidQA,38,270,6,39,how does smoking impact heart failure?,other
What is the primary method for freezing a tick off a person?,"The primary method for freezing a tick off a person is to use a product like 'Tick OFF,' which is widely available in pharmacies. This product rapidly freezes the tick, killing it and reducing the release of venom into the body. It is important to freeze the tick before removal to minimize toxin exposure.",FirstAidQA,60,306,12,54,what is the primary method for freezing a tick off a person?,other
What is the first thing to do when faced with a choking emergency?,"The first thing to do when faced with a choking emergency is to assess whether the person can breathe or cough. If they cannot cough, breathe, or are showing signs of severe distress, immediately perform appropriate first aid interventions such as back slaps or CPR and seek medical help.",FirstAidQA,66,288,13,49,what is the first thing to do when faced with a choking emergency?,choking
What is the significance of a casualty being unable to move their legs after a suspected spinal injury?,"Inability to move the legs after a suspected spinal injury suggests a significant spinal cord injury, potentially causing paralysis. The severity of the injury depends on its location and extent, but prompt medical intervention is necessary to assess the injury and initiate treatment to prevent further complications.",FirstAidQA,103,318,18,47,what is the significance of a casualty being unable to move their legs after a suspected spinal injury?,spinal_injury
How can I remove a deeply embedded splinter safely at home?,"If the splinter is deeply embedded and difficult to remove, it’s best to seek professional medical assistance. However, if removal at home is necessary, first sterilize the tools (forceps or tweezers), wash the surrounding area, and use a splinter remover to expose the splinter. Once visible, carefully pull it out with forceps. After removal, cleanse the wound with antiseptic or soapy water, dry it, and apply an adhesive dressing. If the wound becomes infected or swollen, consult a doctor.",FirstAidQA,59,494,11,79,how can i remove a deeply embedded splinter safely at home?,severe_bleeding
Can dehydration contribute to nosebleeds?,"Yes, dehydration can dry out the nasal membranes, making them more fragile and prone to cracking. Staying well-hydrated helps maintain moisture in mucous membranes and can prevent spontaneous nosebleeds.",FirstAidQA,41,203,5,29,can dehydration contribute to nosebleeds?,severe_bleeding
Why should you elevate a bruised limb?,"Elevating a bruised limb above heart level helps reduce blood flow to the area, which minimizes swelling and supports lymphatic drainage. It’s especially useful within the first 24–48 hours post-injury.",FirstAidQA,38,202,7,30,why should you elevate a bruised limb?,other
How should I clean an ear after an injury?,"After an ear injury, it is important not to insert anything into the ear canal. You should avoid using cotton swabs or other objects. Only clean the outer ear gently with a clean, damp cloth. Seek medical help for proper treatment of the injury.",FirstAidQA,42,245,9,44,how should i clean an ear after an injury?,other
How can an improvised bandage be made using a sheet during mass casualty situations?,"Tear or cut a clean sheet into strips or triangles. Fold and wrap the fabric to support limbs, secure dressings, or create slings. Ensure it’s not too tight and avoid materials that shed fibers or may irritate wounds.",FirstAidQA,84,217,14,38,how can an improvised bandage be made using a sheet during mass casualty situations?,severe_bleeding
A friend complains of a severe headache and blurred vision an hour after bumping their head. What should you do?,These are warning signs of a potentially serious head injury. The person should be kept still and calm. Do not let them sleep or move around unnecessarily. Monitor for additional symptoms like vomiting or confusion. Seek medical help immediately and inform responders about the head injury and evolving symptoms.,FirstAidQA,112,312,20,49,a friend complains of a severe headache and blurred vision an hour after bumping their head. what should you do?,transportation
What role can a driver who wasn't involved in the accident play?,"They can assist by alerting traffic with hazard lights, providing first aid supplies, calling emergency services, or directing responders to the scene. If uninjured, they should avoid interfering with casualty care and instead help manage the scene safely.",FirstAidQA,64,256,12,38,what role can a driver who wasn't involved in the accident play?,other
What should you do if a person with a concussion is experiencing a headache?,"If a person with a concussion is experiencing a headache, they should rest in a quiet and dark room. Over-the-counter pain medications may be used under medical guidance, but it is important to avoid giving medications that could mask symptoms. If the headache worsens, seek medical help immediately.",FirstAidQA,76,300,14,48,what should you do if a person with a concussion is experiencing a headache?,other
How should I treat a bite from a death adder?,"If bitten by a death adder, keep the person calm and still. Apply pressure immobilization to the affected limb, and seek urgent medical help. The venom of a death adder can cause paralysis and breathing difficulties.",FirstAidQA,45,216,10,36,how should i treat a bite from a death adder?,other
What should I do if the injured person is unconscious and has a suspected arm injury?,"If the casualty is unconscious and you suspect an arm injury, do not move the arm unless it's necessary for airway or CPR management. If movement is unavoidable, support the arm gently with padding and, if possible, secure it in place using an arm sling or soft support. Ensure the airway remains open and prioritize life-saving steps like CPR. Immobilization becomes secondary unless it interferes with breathing or resuscitation.",FirstAidQA,85,431,16,69,what should i do if the injured person is unconscious and has a suspected arm injury?,cpr
What should be done if multiple minor injuries are found during assessment?,"If multiple minor injuries are discovered and none appear life-threatening, the first aider should complete the full assessment first. Afterward, each injury should be treated appropriately—cleaning wounds, applying dressings, and immobilizing as needed. Prioritizing and managing injuries systematically ensures nothing is overlooked and prevents complications.",FirstAidQA,75,362,12,45,what should be done if multiple minor injuries are found during assessment?,severe_bleeding
How should the first aider proceed if the patient is confused and unable to provide their AMPLE history?,"If the patient is disoriented or unable to respond, the first aider should gather information from bystanders, look for medical alert tags or wristbands, and observe for medication containers or inhalers. If available, checking a smartphone medical ID or asking witnesses about the incident timeline can help reconstruct the AMPLE history.",FirstAidQA,104,339,18,51,how should the first aider proceed if the patient is confused and unable to provide their ample history?,other
What should you do if the casualty’s chest does not rise after giving rescue breaths?,"If the chest does not rise after giving rescue breaths, check the casualty’s head position to ensure the airway is open. Reassess the seal between the rescuer’s mouth and the casualty’s mouth or nose. If the airway is still blocked, attempt to clear it and try again. If the chest still does not rise, consider performing abdominal thrusts to dislodge any obstruction.",FirstAidQA,85,368,15,62,what should you do if the casualty’s chest does not rise after giving rescue breaths?,other
What should I wipe away from a conscious stroke victim's face?,"Gently wipe away any dribbled secretions such as saliva or vomit. This prevents aspiration, ensures comfort, and keeps their airway clearer while waiting for medical assistance.",FirstAidQA,62,177,11,26,what should i wipe away from a conscious stroke victim's face?,stroke
Can heart attacks occur without any prior symptoms or warning?,"Yes, heart attacks can sometimes occur suddenly, without any prior symptoms or warning signs. However, many people experience warning signs like chest discomfort or shortness of breath hours or days before the event. It’s important to seek medical advice if you experience any concerning symptoms.",FirstAidQA,62,297,10,45,can heart attacks occur without any prior symptoms or warning?,heart_attack
What should I do if I accidentally touch the root of a knocked-out tooth?,"If you accidentally touch the root of a knocked-out tooth, try to handle it by the crown (the visible part of the tooth). Avoid touching the root as it is sensitive, and damage to the root can reduce the chances of successful reattachment.",FirstAidQA,73,239,14,43,what should i do if i accidentally touch the root of a knocked-out tooth?,other
What kind of injuries commonly require splinting?,"Injuries that commonly require splinting include fractures of the upper or lower leg, kneecap, upper arm near the elbow, forearm, wrist, or finger. Splinting is used to prevent further injury until professional medical care is available.",FirstAidQA,49,237,7,36,what kind of injuries commonly require splinting?,fracture
What should I do if a person becomes unresponsive during an asthma attack?,"Call emergency services immediately. If the person stops breathing, begin CPR if you're trained. If a puffer is still available and they are semi-conscious, try to administer medication. Oxygen should be provided by trained personnel if available.",FirstAidQA,74,247,13,37,what should i do if a person becomes unresponsive during an asthma attack?,cpr
How does shock affect the body’s temperature regulation?,"Shock impairs the body’s ability to regulate its temperature, causing the skin to become cold and clammy due to reduced blood flow to the skin. The body’s attempt to maintain core temperature may lead to shivering or even excessive heat loss. It’s essential to keep the casualty warm without overheating them.",FirstAidQA,56,309,8,51,how does shock affect the body’s temperature regulation?,allergies
